"","outcome","SwissTPH","Imperial"
"1","propDeathsAverted_U5","9.2 (8.7 to 10.1)","11.5 (8.3 to 13.5)"
"2","propClinicalCasesAverted_U5","13.2 (11.2 to 14.6)","13.3 (12.6 to 15.1)"
"3","deathper100kvaccaverted","417 (205 to 540)","449 (313 to 536)"
"4","clinicalCasesper100kvaccaverted","108824 (46978 to 121182)","98174 (57938 to 145881)"
"5","costperdaly_2","63 (53 to 150)","66 (55 to 99)"
"6","costperdaly_5","110 (92 to 260)","117 (98 to 173)"
"7","costperdaly_10","188 (156 to 442)","201 (169 to 296)"
"8","costperClinicalCase_2","38 (32 to 58)","19 (12 to 32)"
"9","costperClinicalCase_5","66 (55 to 101)","33 (22 to 57)"
"10","costperClinicalCase_10","113 (94 to 171)","57 (38 to 97)"
