"","outcome","SwissTPH","Imperial"
"1","propDeathsAverted_U5","9.2 (8.7 to 10.1)","18.6 (13.6 to 20.8)"
"2","propClinicalCasesAverted_U5","13.2 (11.2 to 14.6)","20.9 (20.1 to 23.6)"
"3","deathper100kvaccaverted","417 (205 to 540)","448 (315 to 534)"
"4","clinicalCasesper100kvaccaverted","108824 (46978 to 121182)","101413 (57839 to 145301)"
"5","costperdaly_2","50 (42 to 120)","43 (35 to 65)"
"6","costperdaly_5","97 (81 to 230)","83 (69 to 122)"
"7","costperdaly_10","175 (146 to 412)","149 (125 to 218)"
"8","costperClinicalCase_2","31 (25 to 46)","12 (8 to 22)"
"9","costperClinicalCase_5","59 (48 to 89)","23 (15 to 41)"
"10","costperClinicalCase_10","105 (87 to 160)","41 (28 to 73)"
