"","outcome","SwissTPH","Imperial"
"1","propDeathsAverted_U5","5.7 (5.4 to 6.3)","11.5 (8.3 to 13.5)"
"2","propClinicalCasesAverted_U5","8.3 (7 to 9.1)","13.3 (12.6 to 15.1)"
"3","deathper100kvaccaverted","417 (205 to 540)","449 (313 to 536)"
"4","clinicalCasesper100kvaccaverted","108824 (46978 to 121182)","98174 (57938 to 145881)"
"5","costperdaly_2","50 (42 to 120)","43 (35 to 66)"
"6","costperdaly_5","97 (81 to 230)","83 (69 to 123)"
"7","costperdaly_10","175 (146 to 412)","149 (125 to 220)"
"8","costperClinicalCase_2","31 (25 to 46)","12 (8 to 21)"
"9","costperClinicalCase_5","59 (48 to 89)","24 (15 to 40)"
"10","costperClinicalCase_10","105 (87 to 160)","43 (28 to 72)"
